Industry Title,SIC Code,Company Name,cityba,zipba,Industry_Encoded,City_Encoded,Cluster
PHARMACEUTICAL PREPARATIONS,2834.0,XOMA Royalty Corp,EMERYVILLE,94608,204,434,1
SERVICES-HOME HEALTH CARE SERVICES,8082.0,"Enhabit, Inc.",DALLAS,75206,300,341,1
"WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES",5080.0,HUDSON TECHNOLOGIES INC /NY,PEARL RIVER,10965,379,1056,3
"MEASURING & CONTROLLING DEVICES, NEC",3829.0,FARO TECHNOLOGIES INC,LAKE MARY,32746-6204,140,717,2
"GAMES, TOYS & CHILDREN'S VEHICLES (NO DOLLS & BICYCLES)",3944.0,JAKKS PACIFIC INC,SANTA MONICA,90405,93,1205,4
"INSURANCE AGENTS, BROKERS & SERVICE",6411.0,"SelectQuote, Inc.",OVERLAND PARK,66211,124,1032,0
REAL ESTATE INVESTMENT TRUSTS,6798.0,"NexPoint Real Estate Finance, Inc.",DALLAS,75201,232,341,1
INDUSTRIAL ORGANIC CHEMICALS,2860.0,"LanzaTech Global, Inc.",SKOKIE,60077,120,1261,4
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841.0,"ClearPoint Neuro, Inc.",SOLANA BEACH,92075,340,1264,3
COMMERCIAL PRINTING,2750.0,"Quad/Graphics, Inc.",SUSSEX,53089-3995,42,1326,4
NATIONAL COMMERCIAL BANKS,6021.0,"NewtekOne, Inc.",BOCA RATON,33431,174,146,1
SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,7373.0,"SmartRent, Inc.",SCOTTSDALE,85255,283,1224,3
SERVICES-MEDICAL LABORATORIES,8071.0,"Personalis, Inc.",MENLO PARK,94025,306,842,3
LABORATORY ANALYTICAL INSTRUMENTS,3826.0,"Nautilus Biotechnology, Inc.",SEATTLE,98102,129,1227,0
BLANK CHECKS,6770.0,YUMMIES INC,SALT LAKE CITY,84117,25,1183,4
PHARMACEUTICAL PREPARATIONS,2834.0,NORTHWEST BIOTHERAPEUTICS INC,BETHESDA,20814,204,126,1
"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",8090.0,"VIEMED HEALTHCARE, INC.",LAFAYETTE,70508,308,710,3
"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",6036.0,"NorthEast Community Bancorp, Inc./MD/",WHITE PLAINS,10601,267,1502,3
"COMPUTER PERIPHERAL EQUIPMENT, NEC",3577.0,"Evolv Technologies Holdings, Inc.",HOUSTON,77079,48,635,2
MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),1400.0,"Intrepid Potash, Inc.",DENVER,80202,152,363,2
SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE,8011.0,"Airsculpt Technologies, Inc.",MIAMI BEACH,33139,317,853,3
RETAIL-EATING PLACES,5812.0,DENNY'S Corp,SPARTANBURG,29319,246,1283,0
PHARMACEUTICAL PREPARATIONS,2834.0,KAMADA LTD,REHOVOT,7670402,204,1119,0
TRUCKING (NO LOCAL),4213.0,PAM TRANSPORTATION SERVICES INC,TONTITOWN,72770,355,1367,3
"COMMUNICATIONS EQUIPMENT, NEC",3669.0,Turtle Beach Corp,WHITE PLAINS,10601,44,1502,4
PHARMACEUTICAL PREPARATIONS,2834.0,"Cryoport, Inc.",BRENTWOOD,37027,204,167,1
PATENT OWNERS & LESSORS,6794.0,"Digital Turbine, Inc.",AUSTIN,78701,199,68,1
CONSTRUCTION MACHINERY & EQUIP,3531.0,MANITOWOC CO INC,MILWAUKEE,53224,52,870,4
"SPORTING & ATHLETIC GOODS, NEC",3949.0,JOHNSON OUTDOORS INC,RACINE,53403-1015,333,1107,3
MINERAL ROYALTY TRADERS,6795.0,MESABI TRUST,NEW YORK,10008-0318,151,956,0
SHIP & BOAT BUILDING & REPAIRING,3730.0,MARINE PRODUCTS CORP,ATLANTA,30329,327,61,1
STATE COMMERCIAL BANKS,6022.0,"CIVISTA BANCSHARES, INC.",SANDUSKY,44870,334,1199,3
TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),4813.0,"ATN International, Inc.",BEVERLY,1915,344,128,1
GOLD AND SILVER ORES,1040.0,Metalla Royalty & Streaming Ltd.,VANCOUVER,V6C 1X8,102,1403,4
"FIRE, MARINE & CASUALTY INSURANCE",6331.0,"NI Holdings, Inc.",FARGO,58102,87,458,2
BLANK CHECKS,6770.0,Montana Technologies Corp.,CHICAGO,60654,25,272,2
SERVICES-COMPUTER PROCESSING & DATA PREPARATION,7374.0,OOMA INC,SUNNYVALE,94085,284,1323,3
PHARMACEUTICAL PREPARATIONS,2834.0,COMPASS Pathways plc,CHESIRE,WA14 2DT,204,266,1
SERVICES-PREPACKAGED SOFTWARE,7372.0,"Golden Matrix Group, Inc.",LAS VEGAS,89103,319,729,3
"FIRE, MARINE & CASUALTY INSURANCE",6331.0,"Heritage Insurance Holdings, Inc.",TAMPA,33607,87,1338,4
RETAIL-AUTO DEALERS & GASOLINE STATIONS,5500.0,AMERICAS CARMART INC,ROGERS,72756,238,1147,0
"RETAIL-RETAIL STORES, NEC",5990.0,Titan Machinery Inc.,WEST FARGO,58078,259,1471,3
"WHOLESALE-APPAREL, PIECE GOODS & NOTIONS",5130.0,WEYCO GROUP INC,GLENDALE,43312,361,526,1
"GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC",3569.0,"Ouster, Inc.",SAN FRANCISCO,94110,99,1189,4
"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",2836.0,"Jasper Therapeutics, Inc.",REDWOOD CITY,94065,22,1118,4
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841.0,"CVRx, Inc.",MINNEAPOLIS,55445,340,875,3
RADIOTELEPHONE COMMUNICATIONS,4812.0,"Spok Holdings, Inc",ALEXANDRIA,22315,226,27,1
METAL MINING,1000.0,TMC the metals Co Inc.,VANCOUVER,V6C 2T5,147,1403,0
ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO,4731.0,"RADIANT LOGISTICS, INC",RENTON,98057,17,1121,4
"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",3690.0,Byrna Technologies Inc.,ANDOVER,1810,156,44,2
NATIONAL COMMERCIAL BANKS,6021.0,SOUTHERN FIRST BANCSHARES INC,GREENVILLE,29607,174,551,2
"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",5122.0,"NU SKIN ENTERPRISES, INC.",PROVO,84601,365,1098,3
PHARMACEUTICAL PREPARATIONS,2834.0,"Aldeyra Therapeutics, Inc.",LEXINGTON,2421,204,746,0
CRUDE PETROLEUM & NATURAL GAS,1311.0,W&T OFFSHORE INC,HOUSTON,77057-5745,56,635,2
SERVICES-PREPACKAGED SOFTWARE,7372.0,"Backblaze, Inc.",SAN MATEO,94401,319,1195,3
MOTOR VEHICLE PARTS & ACCESSORIES,3714.0,Holley Inc.,BOWLING GREEN,42101,170,159,1
GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,3560.0,GRAHAM CORP,BATAVIA,14020,98,90,2
CONSTRUCTION - SPECIAL TRADE CONTRACTORS,1700.0,MATRIX SERVICE CO,TULSA,74103,51,1382,4
ELECTRICAL INDUSTRIAL APPARATUS,3620.0,GRAPHJET TECHNOLOGY,WILAYAHPERSEKUTUANKUALA LUMPUR,59200,70,1505,4
SERVICES-PREPACKAGED SOFTWARE,7372.0,"DOMO, INC.",AMERICAN FORK,84003,319,36,1
RETAIL-MISCELLANEOUS RETAIL,5900.0,"TheRealReal, Inc.",SAN FRANCISCO,94133,255,1189,3
HOUSEHOLD FURNITURE,2510.0,Sleep Number Corp,MINNEAPOLIS,55404,114,875,4
BLANK CHECKS,6770.0,Jaws Mustang Acquisition Corp,MIAMI BEACH,33139,25,853,4
ELECTRONIC COMPONENTS & ACCESSORIES,3670.0,"Vishay Precision Group, Inc.",MALVERN,19355,75,802,4
"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",2836.0,"iTeos Therapeutics, Inc.",WATERTOWN,2472,22,1451,4
ELECTRONIC CONNECTORS,3678.0,METHODE ELECTRONICS INC,CHICAGO,60631,78,272,2
"COMMUNICATIONS EQUIPMENT, NEC",3669.0,"ITERIS, INC.",AUSTIN,78746,44,68,2
STATE COMMERCIAL BANKS,6022.0,"Southern States Bancshares, Inc.",ANNISTON,36201,334,48,1
STATE COMMERCIAL BANKS,6022.0,"Orange County Bancorp, Inc. /DE/",MIDDLETOWN,10940,334,859,3
PHARMACEUTICAL PREPARATIONS,2834.0,"Rezolute, Inc.",REDWOOD CITY,94065,204,1118,0
WATER SUPPLY,4941.0,"Global Water Resources, Inc.",PHOENIX,85027,358,1067,3
HOUSEHOLD FURNITURE,2510.0,FLEXSTEEL INDUSTRIES INC,DUBUQUE,52001,114,392,2
PHARMACEUTICAL PREPARATIONS,2834.0,"Design Therapeutics, Inc.",CARLSBAD,92011,204,219,1
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841.0,CERUS CORP,CONCORD,94520,340,306,1
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841.0,ORASURE TECHNOLOGIES INC,BETHLEHEM,18015,340,127,1
STATE COMMERCIAL BANKS,6022.0,First Internet Bancorp,FISHERS,46038,334,467,1
STATE COMMERCIAL BANKS,6022.0,"John Marshall Bancorp, Inc.",RESTON,20190,334,1123,3
"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",7370.0,"Eventbrite, Inc.",SAN FRANCISCO,94105,286,1189,3
NATIONAL COMMERCIAL BANKS,6021.0,FIDELITY D & D BANCORP INC,DUNMORE,18512,174,397,1
SERVICES-MISCELLANEOUS BUSINESS SERVICES,7380.0,Performant Financial Corp,LIVERMORE,94551,310,762,3
DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,4412.0,Pangaea Logistics Solutions Ltd.,NEWPORT,2840,60,961,4
CRUDE PETROLEUM & NATURAL GAS,1311.0,UNIT CORP,TULSA,74132,56,1382,4
OIL & GAS FIELD MACHINERY & EQUIPMENT,3533.0,"OIL STATES INTERNATIONAL, INC",HOUSTON,77002,184,635,0
RETAIL-CATALOG & MAIL-ORDER HOUSES,5961.0,"BEYOND, INC.",MIDVALE,84047,240,862,0
CONSTRUCTION - SPECIAL TRADE CONTRACTORS,1700.0,"Concrete Pumping Holdings, Inc.",THORNTON,80229,51,1354,4
STATE COMMERCIAL BANKS,6022.0,CHOICEONE FINANCIAL SERVICES INC,SPARTA,49345-0186,334,1282,3
REAL ESTATE INVESTMENT TRUSTS,6798.0,BRT Apartments Corp.,GREAT NECK,11021-3190,232,543,1
"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES",5700.0,"TILE SHOP HOLDINGS, INC.",PLYMOUTH,55441,252,1079,0
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841.0,"DELCATH SYSTEMS, INC.",NEW YORK,10019,340,956,3
RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,3663.0,GILAT SATELLITE NETWORKS LTD,MCLEAN,22102,224,832,0
RADIO BROADCASTING STATIONS,4832.0,"iHeartMedia, Inc.",SAN ANTONIO,78258,225,1184,0
PERSONAL CREDIT INSTITUTIONS,6141.0,Regional Management Corp.,GREER,29651,202,554,1
REAL ESTATE INVESTMENT TRUSTS,6798.0,"Chicago Atlantic Real Estate Finance, Inc.",CHICAGO,60611,232,272,1
PHARMACEUTICAL PREPARATIONS,2834.0,"Inozyme Pharma, Inc.",BOSTON,2210,204,154,1
"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035.0,"Waterstone Financial, Inc.",WAUWATOSA,53226,266,1458,3
CONSTRUCTION MACHINERY & EQUIP,3531.0,GENCOR INDUSTRIES INC,ORLANDO,32810,52,1024,4
NATIONAL COMMERCIAL BANKS,6021.0,"First Bancorp, Inc /ME/",DAMARISCOTTA,4543,174,343,1
CRUDE PETROLEUM & NATURAL GAS,1311.0,"RING ENERGY, INC.",THE WOODLANDS,77380,56,1351,4
"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",6036.0,"Pioneer Bancorp, Inc./MD",ALBANY,12211,267,23,1
INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,3825.0,ALLIENT INC,AMHERST,14228-2313,123,39,2
STATE COMMERCIAL BANKS,6022.0,CITIZENS & NORTHERN CORP,WELLSBORO,16901,334,1464,3
FINANCE SERVICES,6199.0,Greystone Housing Impact Investors LP,OMAHA,68154,86,1016,4
OPERATORS OF APARTMENT BUILDINGS,6513.0,NEW ENGLAND REALTY ASSOCIATES LIMITED PARTNERSHIP,ALLSTON,2134,188,32,1
SHIP & BOAT BUILDING & REPAIRING,3730.0,"MasterCraft Boat Holdings, Inc.",VONORE,37855,327,1427,3
TELEVISION BROADCASTING STATIONS,4833.0,E.W. SCRIPPS Co,CININNATI,45202,345,280,1
RETAIL-SHOE STORES,5661.0,Designer Brands Inc.,COLUMBUS,43219,260,304,1
REAL ESTATE INVESTMENT TRUSTS,6798.0,"Pacific Oak Strategic Opportunity REIT, Inc.",LOS ANGELES,90025,232,779,0
NATIONAL COMMERCIAL BANKS,6021.0,FIRST OF LONG ISLAND CORP,MELVILLE,11747,174,840,0
"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",3842.0,Sanara MedTech Inc.,FORT WORTH,76102,193,486,1
RETAIL-SHOE STORES,5661.0,GENESCO INC,NASHVILLE,37214,260,932,3
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841.0,"TREACE MEDICAL CONCEPTS, INC.",PONTE VEDRA,32081,340,1083,3
"SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT",8700.0,"FORRESTER RESEARCH, INC.",CAMBRIDGE,2140,294,208,1
SERVICES-COMPUTER PROCESSING & DATA PREPARATION,7374.0,8X8 INC /DE/,CAMPBELL,95008,284,211,1
DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,4412.0,DIANA SHIPPING INC.,ATHENS,0,60,59,2
"OIL & GAS FIELD SERVICES, NEC",1389.0,"Ranger Energy Services, Inc.",HOUSTON,77042,185,635,0
SAUSAGES & OTHER PREPARED MEAT PRODUCTS,2013.0,"Mama's Creations, Inc.",EAST RUTHERFORD,7073,265,408,1
PHARMACEUTICAL PREPARATIONS,2834.0,AC Immune SA,1015 LAUSANNE,0,204,1,1
STATE COMMERCIAL BANKS,6022.0,"USCB FINANCIAL HOLDINGS, INC.",DORAL,33172,334,376,1
STATE COMMERCIAL BANKS,6022.0,CITIZENS FINANCIAL SERVICES INC,MANSFIELD,16933,334,808,3
"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",2836.0,Zura Bio Ltd,LA JOLLA,92037,22,707,2
STATE COMMERCIAL BANKS,6022.0,Primis Financial Corp.,MCLEAN,22101,334,832,3
PHARMACEUTICAL PREPARATIONS,2834.0,uniQure N.V.,AMSTERDAM,1105 BP,204,41,1
"AIR TRANSPORTATION, NONSCHEDULED",4522.0,"Blade Air Mobility, Inc.",NEW YORK,10001,8,956,4
"WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES",5080.0,AerSale Corp,CORAL GABLES,33134,379,314,1
FATS & OILS,2070.0,SOUTH DAKOTA SOYBEAN PROCESSORS LLC,VOLGA,57071,84,1426,4
REAL ESTATE INVESTMENT TRUSTS,6798.0,Clipper Realty Inc.,BROOKLYN,11219,232,179,1
SERVICES-PREPACKAGED SOFTWARE,7372.0,Innovid Corp.,NEW YORK,10003,319,956,3
"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",2836.0,"SUTRO BIOPHARMA, INC.",SOUTH SAN FRANCISCO,94080,22,1276,4
"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC",3728.0,PARK AEROSPACE CORP,MELVILLE,11747,14,840,4
PHARMACEUTICAL PREPARATIONS,2834.0,Vanda Pharmaceuticals Inc.,WASHINGTON,20037,204,1448,0
ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,3845.0,ZYNEX INC,ENGLEWOOD,80112,72,437,2
REAL ESTATE INVESTMENT TRUSTS,6798.0,"Alpine Income Property Trust, Inc.",WINTER PARK,32789,232,1521,0
STATE COMMERCIAL BANKS,6022.0,BayCom Corp,WALNUT CREEK,94596,334,1436,3
PHARMACEUTICAL PREPARATIONS,2834.0,ADC Therapeutics SA,EPALINGES,1066,204,439,1
PHARMACEUTICAL PREPARATIONS,2834.0,"Atea Pharmaceuticals, Inc.",BOSTON,2110,204,154,1
PHARMACEUTICAL PREPARATIONS,2834.0,ABEONA THERAPEUTICS INC.,NEW YORK,10019,204,956,0
RAILROAD EQUIPMENT,3743.0,"FreightCar America, Inc.",CHICAGO,60606,227,272,1
MEDICINAL CHEMICALS & BOTANICAL PRODUCTS,2833.0,ChromaDex Corp.,LOS ANGELES,90024,142,779,0
"SERVICES-BUSINESS SERVICES, NEC",7389.0,"RESOURCES CONNECTION, INC.",IRVINE,92614,280,653,1
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841.0,ANGIODYNAMICS INC,LATHAM,12110,340,731,3
"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",3690.0,"Energy Vault Holdings, Inc.",WESTLAKE VILLAGE,91361,156,1494,0
STATE COMMERCIAL BANKS,6022.0,COLONY BANKCORP INC,FITZGERALD,31750,334,468,1
"COMPUTER PERIPHERAL EQUIPMENT, NEC",3577.0,IMMERSION CORP,AVENTURA,33180,48,69,2
STATE COMMERCIAL BANKS,6022.0,PCB BANCORP,LOS ANGELES,90010,334,779,3
SERVICES-EDUCATIONAL SERVICES,8200.0,AMERICAN PUBLIC EDUCATION INC,CHARLES TOWN,25414,291,251,1
SERVICES-MEDICAL LABORATORIES,8071.0,"SERA PROGNOSTICS, INC.",SALT LAKE CITY,84109,306,1183,3
OPERATORS OF NONRESIDENTIAL BUILDINGS,6512.0,"Awaysis Capital, Inc.",MIRAMAR,33027,189,878,0
ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS,3350.0,TREDEGAR CORP,RICHMOND,23225,263,1128,3
INDUSTRIAL ORGANIC CHEMICALS,2860.0,FutureFuel Corp.,CLAYTON,63105,120,287,2
MEDICINAL CHEMICALS & BOTANICAL PRODUCTS,2833.0,biote Corp.,IRVING,75038,142,654,2
SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,7373.0,ASURE SOFTWARE INC,AUSTIN,78701,283,68,1
"AIR TRANSPORTATION, SCHEDULED",4512.0,"Spirit Airlines, Inc.",MIRAMAR,33025,9,878,4
SEMICONDUCTORS & RELATED DEVICES,3674.0,"Arteris, Inc.",CAMPBELL,95008,273,211,1
OPERATIVE BUILDERS,1531.0,"United Homes Group, Inc.",NEW YORK,10177,187,956,0
"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",2836.0,"Ocugen, Inc.",MALVERN,19355,22,802,4
STATE COMMERCIAL BANKS,6022.0,"LINKBANCORP, Inc.",CAMP HILL,17011,334,210,1
GOLD AND SILVER ORES,1040.0,"Contango ORE, Inc.",HOUSTON,77098,102,635,2
SERVICES-ENGINEERING SERVICES,8711.0,"Mistras Group, Inc.",PRINCETON JUNCTION,8550,293,1096,3
CRUDE PETROLEUM & NATURAL GAS,1311.0,Amplify Energy Corp.,HOUSTON,77002,56,635,2
BLANK CHECKS,6770.0,Slam Corp.,NEW YORK,10110,25,956,4
"INSURANCE AGENTS, BROKERS & SERVICE",6411.0,"GoHealth, Inc.",CHICAGO,60654,124,272,2
HOUSEHOLD APPLIANCES,3630.0,IROBOT CORP,BEDFORD,1730,112,101,2
"SERVICES-BUSINESS SERVICES, NEC",7389.0,"Accolade, Inc.",PLYMOUTH MEETING,19462,280,1080,3
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841.0,"AVITA Medical, Inc.",VALENCIA,91355,340,1397,3
"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",2836.0,FATE THERAPEUTICS INC,SAN DIEGO,92131,22,1187,4
PHARMACEUTICAL PREPARATIONS,2834.0,"HERON THERAPEUTICS, INC. /DE/",SAN DIEGO,92121,204,1187,0
PHARMACEUTICAL PREPARATIONS,2834.0,"Climb Bio, Inc.",REDMOND,98053,204,1117,0
RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,3663.0,"AVIAT NETWORKS, INC.",AUSTIN,78728,224,68,1
COMMODITY CONTRACTS BROKERS & DEALERS,6221.0,Grayscale Litecoin Trust (LTC),STAMFORD,6902,43,1303,4
SEMICONDUCTORS & RELATED DEVICES,3674.0,POET TECHNOLOGIES INC.,"TORONTO, ONTARIO",M4P 1E2,273,1372,3
COMMODITY CONTRACTS BROKERS & DEALERS,6221.0,Grayscale Bitcoin Cash Trust (BCH),STAMFORD,6902,43,1303,4
RETAIL-MISCELLANEOUS SHOPPING GOODS STORES,5940.0,"Barnes & Noble Education, Inc.",BASKING RIDGE,7920,256,88,1
"RETAIL-RETAIL STORES, NEC",5990.0,"Bark, Inc.",NEW YORK,10013,259,956,3
SERVICES-PREPACKAGED SOFTWARE,7372.0,ON24 INC.,SAN FRANCISCO,94105,319,1189,3
"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035.0,"Ponce Financial Group, Inc.",BRONX,10462,266,175,1
BLANK CHECKS,6770.0,"Rigetti Computing, Inc.",BERKELEY,94710,25,119,2
BLANK CHECKS,6770.0,Spring Valley Acquisition Corp. II,DALLAS,75201,25,341,2
STATE COMMERCIAL BANKS,6022.0,"PARKE BANCORP, INC.",WASHINGTON TOWNSHIP,8080,334,1449,3
SERVICES-PREPACKAGED SOFTWARE,7372.0,AUDIOEYE INC,TUCSON,85711,319,1381,3
SERVICES-PREPACKAGED SOFTWARE,7372.0,"Inspired Entertainment, Inc.","NEW YORK,",10107,319,957,3
SEMICONDUCTORS & RELATED DEVICES,3674.0,NETLIST INC,IRVINE,92617,273,653,1
MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),1400.0,Piedmont Lithium Inc.,BELMONT,28012,152,111,2
SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,7373.0,TELOS CORP,ASHBURN,20147,283,56,1
"FIRE, MARINE & CASUALTY INSURANCE",6331.0,KINGSWAY FINANCIAL SERVICES INC,CHICAGO,60606,87,272,2
SHORT-TERM BUSINESS CREDIT INSTITUTIONS,6153.0,PLUMAS BANCORP,RENO,89511,328,1120,3
RETAIL-MISCELLANEOUS RETAIL,5900.0,FERRELLGAS PARTNERS L P,LIBERTY,64068,255,747,3
APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,2300.0,"SUPERIOR GROUP OF COMPANIES, INC.",SEMINOLE,33772,16,1232,4
SERVICES-HELP SUPPLY SERVICES,7363.0,"TTEC Holdings, Inc.",ENGLEWOOD,80112,299,437,1
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841.0,"Sight Sciences, Inc.",MENLO PARK,94025,340,842,3
SERVICES-PERSONAL SERVICES,7200.0,"EVI INDUSTRIES, INC.",MIAMI,33137,318,852,3
BLANK CHECKS,6770.0,Cartesian Growth Corp II,NEW YORK,10017,25,956,4
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841.0,"Anika Therapeutics, Inc.",BEDFORD,1730,340,101,1
PHARMACEUTICAL PREPARATIONS,2834.0,"Acrivon Therapeutics, Inc.",WATERTOWN,2472,204,1451,0
MEDICINAL CHEMICALS & BOTANICAL PRODUCTS,2833.0,Ayr Wellness Inc.,TORONTO,M5L 1B9,142,1369,0
STATE COMMERCIAL BANKS,6022.0,MVB FINANCIAL CORP,FAIRMONT,26554-2777,334,456,1
GOLD AND SILVER ORES,1040.0,"VERDE RESOURCES, INC.",ST. LOUIS,63141,102,1298,4
"WHOLESALE-DURABLE GOODS, NEC",5099.0,ALLIANCE ENTERTAINMENT HOLDING CORP,PLANTATION,33324,367,1077,3
"OIL & GAS FIELD SERVICES, NEC",1389.0,NATURAL GAS SERVICES GROUP INC,MIDLAND,79705,185,860,0
STATE COMMERCIAL BANKS,6022.0,"Princeton Bancorp, Inc.",READING,19603,334,1116,3
COMMERCIAL PRINTING,2750.0,CPI Card Group Inc.,LITTLETON,80127,42,761,4
RETAIL-CATALOG & MAIL-ORDER HOUSES,5961.0,A.K.A. BRANDS HOLDING CORP.,SAN FRANCISCO,94104,240,1189,0
PHARMACEUTICAL PREPARATIONS,2834.0,ENANTA PHARMACEUTICALS INC,WATERTOWN,2472,204,1451,0
"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035.0,"Sterling Bancorp, Inc.",SOUTHFIELD,48076,266,1279,3
GOLD AND SILVER ORES,1040.0,Gold Royalty Corp.,VANCOUVER,V6E 2Y3,102,1403,4
"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",2836.0,"TScan Therapeutics, Inc.",WALTHAM,2451,22,1437,4
LABORATORY ANALYTICAL INSTRUMENTS,3826.0,ATLANTIC INTERNATIONAL CORP.,WOBURN,1801,129,1525,4
MISCELLANEOUS CHEMICAL PRODUCTS,2890.0,"Arq, Inc.",GREENWOOD VILLAGE,80111,155,553,2
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841.0,Pulmonx Corp,REDWOOD CITY,94063,340,1118,3
PHARMACEUTICAL PREPARATIONS,2834.0,AMARIN CORP PLC\UK,DUBLIN 2,D02 VK60,204,389,1
HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,1600.0,Orion Group Holdings Inc,HOUSTON,77034,108,635,2
PHARMACEUTICAL PREPARATIONS,2834.0,RIGEL PHARMACEUTICALS INC,SOUTH SAN FRANCISCO,94080,204,1276,0
METAL MINING,1000.0,ZHEN DING RESOURCES INC.,MONTREAL,H2Y 2P1,147,895,0
"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",2836.0,SOPHiA GENETICS SA,SAINT-SULPICE,0,22,1180,4
SERVICES-MEDICAL LABORATORIES,8071.0,BIODESIX INC,BOULDER,80301,306,157,1
PHARMACEUTICAL PREPARATIONS,2834.0,"TuHURA Biosciences, Inc./NV",SAN DIEGO,92121,204,1187,0
"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",6036.0,TIMBERLAND BANCORP INC,HOQUIAM,98550,267,633,1
REAL ESTATE,6500.0,"Belpointe PREP, LLC",GREENWICH,6831,230,552,1
REAL ESTATE INVESTMENT TRUSTS,6798.0,TRANSCONTINENTAL REALTY INVESTORS INC,DALLAS,75234,232,341,1
PHARMACEUTICAL PREPARATIONS,2834.0,NATURES SUNSHINE PRODUCTS INC,LEHI,84043,204,741,0
"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",2836.0,"Editas Medicine, Inc.",CAMBRIDGE,2141,22,208,2
REAL ESTATE INVESTMENT TRUSTS,6798.0,Industrial Logistics Properties Trust,NEWTON,2458,232,965,0
LOAN BROKERS,6163.0,Better Home & Finance Holding Co,GRAND CAYMAN,KY1-1104,136,535,2
MOTOR VEHICLE PARTS & ACCESSORIES,3714.0,Rubber Leaf Inc,"NINGBO, ZHEJIANG",315506,170,967,0
"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",7370.0,SIFY TECHNOLOGIES LTD,CHENNAI 600 113,0,286,263,1
"COMMUNICATIONS SERVICES, NEC",4899.0,"Spire Global, Inc.",VIENNA,22182,45,1421,4
RETAIL-CATALOG & MAIL-ORDER HOUSES,5961.0,"Qurate Retail, Inc.",ENGLEWOOD,80112,240,437,1
